date	count
2019-04-13	13
2019-04-14	12
2019-04-15	17
2019-04-16	44
2019-04-17	53
2019-04-18	29
2019-04-19	23
2019-04-20	14
2019-04-21	16
2019-04-22	17
2019-04-23	109
2019-04-24	30
2019-04-25	23
2019-04-26	20
2019-04-27	14
2019-04-28	8
2019-04-29	36
2019-04-30	23
2019-05-01	29
2019-05-02	22
2019-05-03	14
2019-05-04	11
2019-05-05	16
2019-05-06	28
2019-05-07	20
2019-05-08	39
2019-05-09	13
2019-05-10	7
2019-05-11	11
2019-05-12	23
2019-05-13	31
2019-05-14	19
2019-05-15	58
2019-05-16	39
2019-05-17	20
2019-05-18	22
2019-05-19	17
2019-05-20	13
2019-05-21	10
2019-05-22	16
2019-05-23	17
2019-05-24	14
2019-05-25	8
2019-05-26	11
2019-05-27	18
2019-05-28	15
2019-05-29	24
2019-05-30	8
2019-05-31	14
2019-06-01	5
2019-06-02	5
2019-06-03	6
2019-06-04	20
2019-06-05	23
2019-06-06	47
2019-06-07	14
2019-06-08	260
2019-06-09	19
2019-06-10	38
2019-06-11	22
2019-06-12	31
2019-06-13	28
2019-06-14	24
2019-06-15	4
2019-06-16	9
2019-06-17	28
2019-06-18	21
2019-06-19	33
2019-06-20	15
2019-06-21	14
2019-06-22	7
2019-06-23	11
2019-06-24	26
2019-06-25	28
2019-06-26	12
2019-06-27	13
2019-06-28	29
2019-06-29	7
2019-06-30	17
2019-07-01	22
2019-07-02	15
2019-07-03	28
2019-07-04	15
2019-07-05	20
2019-07-06	7
2019-07-07	10
2019-07-08	22
2019-07-09	51
2019-07-10	16
2019-07-11	25
2019-07-12	14
2019-07-13	16
2019-07-14	10
2019-07-15	14
2019-07-16	19
2019-07-17	24
2019-07-18	32
2019-07-19	27
2019-07-20	9
2019-07-21	0
2019-07-22	0
